Team,Championships,Top 3 Finishes,Top 5 Finishes,Playoff Appearances,Seasons Played,All Time Record,Playoff Record,Reg Champ,Last Place
Luca,"2 (18, 22)",5,5,5,9,55-48-1,8-3,1,1
Dylan,1 (17),2,4,3,9,54-48-2,2-2,2,2
Cody,0,1,4,4,9,51-53-0,0-4,2,2
Matt,1 (20),5,6,5,9,59-45-0,6-4,1,0
Nate,0,1,3,4,9,47-55-2,0-4,0,1
Hayden,0,2,5,4,9,49-54-1,2-4,1,1
Gavin,"2 (19, 21)",3,6,7,9,58-45-1,5-5,1,0
Zachary,0,1,3,2,9,44-58-2,2-2,0,1
Alexander,1 (23),2,2,2,7,36-43-0,4-1,0,0
Evan,1 (24),2,2,4,7,37-41-1,3-3,0,0
