Year,Week,Team,Score,Opponent,All Time Rank
2020,3.0,Alexander,183.1,Gavin,22nd
2023,2.0,Alexander,172.4,Matt,48th
2023,10.0,Alexander,170.4,Nate,56th
2020,1.0,Cody,207.2,Evan,2nd
2022,5.0,Cody,196.8,Gavin,8th
2020,9.0,Cody,195.8,Hayden,9th
2020,12.0,Dylan,185.6,Hayden,15th
2020,4.0,Dylan,180.8,Nate,26th
2021,5.0,Dylan,178.2,Matt,28th
2024,5.0,Evan,203.7,Luca,3rd
2024,11.0,Evan,202.8,Hayden,4th
2024,8.0,Evan,186.5,Nate,14th
2021,2.0,Gavin,198.4,Luca,7th
2023,8.0,Gavin,189.1,Dylan,12th
2017,12.0,Gavin,188.0,Dylan,13th
2020,3.0,Hayden,218.9,Nate,1st
2023,3.0,Hayden,182.2,Dylan,24th
2024,9.0,Hayden,176.9,Alexander,33rd
2018,10.0,Luca,202.0,Zachary,5th
2019,5.0,Luca,200.0,Hayden,6th
2020,1.0,Luca,193.1,Nate,11th
2024,6.0,Matt,194.5,Nate,10th
2018,11.0,Matt,185.0,Zachary,16th
2024,5.0,Matt,184.6,Dylan,17th
2020,12.0,Nate,173.0,Matt,47th
2023,4.0,Nate,166.9,Cody,68th
2024,11.0,Nate,165.4,Gavin,72nd
2020,4.0,Zachary,184.6,Evan,17th
2020,9.0,Zachary,181.3,Luca,25th
2021,6.0,Zachary,177.1,Hayden,29th
