Year,Week,Team,Opponent,Losing Margin,All Time Rank
2024,12.0,Alexander,Nate,73.2,15th
2019,6.0,Alexander,Dylan,69.0,24th
2022,7.0,Alexander,Gavin,54.6,57th
2023,1.0,Cody,Alexander,92.1,4th
2018,6.0,Cody,Hayden,69.0,24th
2017,5.0,Cody,Hayden,65.0,34th
2023,8.0,Dylan,Gavin,72.6,17th
2024,5.0,Dylan,Matt,57.8,46th
2021,7.0,Dylan,Luca,55.1,53rd
2022,13.0,Evan,Matt,86.6,6th
2020,1.0,Evan,Cody,80.4,9th
2022,7.0,Evan,Zachary,71.3,19th
2018,1.0,Gavin,Luca,67.0,31st
2022,9.0,Gavin,Zachary,64.4,36th
2017,10.0,Gavin,Hayden,55.0,55th
2020,12.0,Hayden,Dylan,98.5,2nd
2020,9.0,Hayden,Cody,90.5,5th
2021,6.0,Hayden,Zachary,74.8,13th
2021,2.0,Luca,Gavin,86.4,7th
2020,9.0,Luca,Zachary,75.5,12th
2024,2.0,Luca,Gavin,71.4,18th
2021,5.0,Matt,Dylan,68.3,26th
2021,9.0,Matt,Dylan,67.1,30th
2019,6.0,Matt,Hayden,66.0,32nd
2024,6.0,Nate,Matt,123.2,1st
2019,4.0,Nate,Dylan,95.0,3rd
2020,1.0,Nate,Luca,80.1,10th
2018,3.0,Zachary,Luca,86.0,8th
2018,10.0,Zachary,Luca,76.0,11th
2023,2.0,Zachary,Cody,70.6,20th
